id_aviso,pais,ciudad,localidad,zona_barrio,lat,lon,tipo_inmueble,estado_propiedad,tipo_negocio,titulo,descripcion,precio_lista_cop,precio_estimado_cop,precio_por_m2,canon_mensual_cop,area_total_m2,area_privada_m2,balcon_m2,terraza_m2,alcobas,banos,parqueaderos,parqueadero_tipo,piso,pisos_edificio,estrato,antiguedad_anos,anio_construccion,orientacion,vista,amoblado,mascotas,ascensor,cuota_admon_mensual,impuesto_predial_anual,mantenimiento_mensual,amenidad_piscina,amenidad_gimnasio,amenidad_bbq,amenidad_zonas_verdes,seguridad,cercano_metro,cercano_transmilenio,distancia_cbd_km,score_caminabilidad,score_ruido,tipo_vendedor,heating,cooling,internet,energia_respaldo,planta_electrica,smart_home,fotos_cnt,tour_360,tour_virtual,contactos_7d,tiempo_respuesta_h,dias_en_mercado,publicado,hot_listing,vendido_en_30d
f4854c9c-f901-4c3a-af2f-668139a87530,Colombia,Cartagena,Manga,Manga Sur,10.382296,-75.418627,Finca,Nueva,Arriendo,"Finca en Manga Sur, Cartagena - 3h/3b 20000m2","Amplio finca con 3 habitaciones y 3 baños, 4 parqueaderos, orientación NE, vista a Montaña. Estrato 4. Cercano a transporte. Amenidades: piscina: True, gimnasio: False, zonas verdes: False. Administración 0 COP/mes. Construido en 2025.",45448303000,43910417000,2195520.83,169128000.0,20000.0,19992.51,0.0,14.99,3,3,4,No tiene,1,0,4,0,2025,NE,Montaña,False,True,False,0,174183000,24080000,True,False,True,False,CCTV,False,False,1.58,60,49,Constructora,Calentador a gas,Ninguno,Cobre,False,False,False,16,False,False,17,9,36,2025-10-04,0,0
d98f78de-fe62-4cc5-9f27-e2f0631aa299,Colombia,Pereira,Cuba,Cuba Central,4.830342,-75.718685,Casa,Nueva,Venta,"Casa en Cuba Central, Pereira - 3h/3b 46m2","Amplio casa con 3 habitaciones y 3 baños, 1 parqueaderos, orientación NE, vista a Parque. Estrato 5. Cercano a transporte. Amenidades: piscina: True, gimnasio: True, zonas verdes: False. Administración 73,401 COP/mes. Construido en 2025.",182594000,170824000,3644771.75,,46.87,29.83,0.0,34.08,3,3,1,Descubierto,1,0,5,0,2025,NE,Parque,False,True,False,73401,624000,76242,True,True,False,False,"Biométrico,CCTV,Portería 24h",False,False,5.76,49,43,Constructora,Eléctrico,Ninguno,HFC,False,False,False,19,True,True,23,10,128,2025-06-25,1,0
cd9ce96a-94e0-48ac-9645-05d7ccbc760f,Colombia,Bogotá,Suba,Los Lagartos,4.756966,-74.061492,Oficina,Nueva,Venta,"Oficina en Los Lagartos, Bogotá - 0h/1b 177m2","Amplio oficina con 0 habitaciones y 1 baños, 1 parqueaderos, orientación S, vista a Interior. Estrato 4. Cercano a transporte. Amenidades: piscina: True, gimnasio: False, zonas verdes: False. Administración 384,382 COP/mes. Construido en 2025.",976843000,920706000,5190265.96,,177.39,177.39,0.0,0.0,0,1,1,Cubierto,1,11,4,0,2025,S,Interior,False,False,True,384382,6543000,232869,True,False,True,False,"CCTV,Citófono",False,False,14.67,66,48,Constructora,Calentador a gas,Aire acondicionado,Cobre,False,False,False,16,True,False,17,6,49,2025-09-15,0,0
80eb1594-df2f-4371-92f9-569fe593b1b9,Colombia,Medellín,Buenos Aires,Buenos Aires,6.25879,-75.598284,Bodega,Nueva,Arriendo,"Bodega en Buenos Aires, Medellín - 0h/3b 390m2","Amplio bodega con 0 habitaciones y 3 baños, 2 parqueaderos, orientación W, vista a Montaña. Estrato 4. Cercano a transporte. Amenidades: piscina: False, gimnasio: False, zonas verdes: True. Administración 91,764 COP/mes. Construido en 2024.",1406809000,1307299000,3347939.19,7802000.0,390.48,390.48,0.0,0.0,0,3,2,Cubierto,1,0,4,0,2024,W,Montaña,False,True,False,91764,6166000,508575,False,False,True,True,CCTV,False,False,5.54,86,48,Propietario,Calentador a gas,Ninguno,HFC,True,True,False,16,False,False,6,8,137,2025-06-11,0,0
30a1d0d1-dc5c-4544-8ccf-99d10b37c2f6,Colombia,Medellín,Buenos Aires,Caicedo,6.221309,-75.57845,Bodega,Usada,Venta,"Bodega en Caicedo, Medellín - 0h/3b 216m2","Amplio bodega con 0 habitaciones y 3 baños, 0 parqueaderos, orientación NW, vista a Montaña. Estrato 3. Cercano a transporte. Amenidades: piscina: False, gimnasio: True, zonas verdes: False. Administración 59,369 COP/mes. Construido en 2022.",570053000,544229000,2509071.51,,216.9,216.9,0.0,0.0,0,3,0,No tiene,1,0,3,3,2022,NW,Montaña,False,True,False,59369,2495000,260286,False,True,True,False,"CCTV,Citófono,Vigilancia móvil",True,False,7.35,67,48,Constructora,Ninguno,Ninguno,Sin servicio,False,False,False,20,False,False,0,6,117,2025-07-17,1,0
facfd540-85dd-41cb-a31c-4459c4c177e7,Colombia,Cali,Comuna 17,La Hacienda,3.456247,-76.571062,Oficina,Usada,Arriendo,"Oficina en La Hacienda, Cali - 0h/1b 34m2","Amplio oficina con 0 habitaciones y 1 baños, 0 parqueaderos, orientación NE, vista a Interior. Estrato 4. Cercano a transporte. Amenidades: piscina: False, gimnasio: False, zonas verdes: True. Administración 540,501 COP/mes. Construido en 2019.",117138000,114511000,3366304.95,437000.0,34.02,34.02,0.0,0.0,0,1,0,No tiene,1,15,4,6,2019,NE,Interior,True,False,True,540501,808000,40820,False,False,False,True,CCTV,True,False,1.15,100,55,Constructora,Caldera central,Aire acondicionado,Fibra Óptica,False,False,False,10,False,False,21,4,39,2025-09-23,1,0
35ce2059-af6c-49d0-a895-96429c6c140e,Colombia,Manizales,Centro,Parque Bolívar,5.054817,-75.536657,Apartamento,Remodelada,Venta,"Apartamento en Parque Bolívar, Manizales - 3h/1b 65m2","Amplio apartamento con 3 habitaciones y 1 baños, 1 parqueaderos, orientación NE, vista a Ciudad. Estrato 3. Cercano a transporte. Amenidades: piscina: False, gimnasio: True, zonas verdes: False. Administración 152,574 COP/mes. Construido en 2015.",237941000,220738000,3345296.26,,65.98,65.08,1.81,0.0,3,1,1,Comunal,5,12,3,10,2015,NE,Ciudad,True,False,True,152574,1079000,99182,False,True,False,False,"Biométrico,Citófono,Portería 24h",False,False,13.9,77,69,Constructora,Eléctrico,Aire acondicionado,Sin servicio,False,False,False,19,False,False,2,11,66,2025-09-03,0,0
d7b50900-e5c2-4bbd-ba42-f70668cb4757,Colombia,Cartagena,Bocagrande,Bocagrande Tradicional,10.381494,-75.461606,Lote,Nueva,Venta,"Lote en Bocagrande Tradicional, Cartagena - 0h/0b 388m2","Amplio lote con 0 habitaciones y 0 baños, 0 parqueaderos, orientación N, vista a Parque. Estrato 6. Cercano a transporte. Amenidades: piscina: False, gimnasio: False, zonas verdes: False. Administración 0 COP/mes. Construido en 2025.",1783036000,1654864000,4264432.25,,388.06,388.06,0.0,0.0,0,0,0,No tiene,0,0,6,0,2025,N,Parque,False,True,False,0,8202000,465675,False,False,True,False,"CCTV,Citófono,Portería 24h",False,False,9.36,60,39,Propietario,Calentador a gas,Aire acondicionado,Sin servicio,False,False,False,22,False,True,13,11,571,2024-04-10,0,0
f8deda47-0c2b-4fa0-9ee6-4bffa4b2094c,Colombia,Manizales,Palogrande,Palogrande Bajo,5.052854,-75.475826,Oficina,Usada,Venta,"Oficina en Palogrande Bajo, Manizales - 0h/1b 67m2","Amplio oficina con 0 habitaciones y 1 baños, 0 parqueaderos, orientación E, vista a Mar. Estrato 4. Cercano a transporte. Amenidades: piscina: False, gimnasio: False, zonas verdes: False. Administración 574,539 COP/mes. Construido en 2018.",247390000,239255000,3529119.89,,67.79,67.79,0.0,0.0,0,1,0,No tiene,9,1,4,7,2018,E,Mar,False,True,True,574539,1858000,81353,False,False,True,False,"CCTV,Portería 24h,Vigilancia móvil",False,True,3.23,75,40,Constructora,Caldera central,Aire acondicionado,Fibra Óptica,False,False,False,10,False,False,18,12,9,2025-11-03,0,1
0faf382e-34b8-4160-ba00-4e13ecb9b47a,Colombia,Pereira,Álamos,Álamos 2,4.831439,-75.66802,Apartamento,Nueva,Venta,"Apartamento en Álamos 2, Pereira - 2h/1b 61m2","Amplio apartamento con 2 habitaciones y 1 baños, 2 parqueaderos, orientación SE, vista a Ciudad. Estrato 4. Cercano a transporte. Amenidades: piscina: False, gimnasio: True, zonas verdes: False. Administración 320,809 COP/mes. Construido en 2025.",234689000,221433000,3622353.38,,61.13,58.77,4.72,0.0,2,1,2,Cubierto,16,6,4,0,2025,SE,Ciudad,False,True,True,320809,1595000,113356,False,True,True,False,"Biométrico,CCTV,Citófono",False,False,6.75,85,64,Propietario,Ninguno,Ninguno,Sin servicio,False,False,False,6,False,False,20,14,55,2025-09-01,0,0
